file_name;time;battery;connection;service
0140_009.2B.jpg;4.73;100;none;mobile
0140_009.2B.jpg;4.791;100;none;mobile
0140_009.2B.jpg;4.731;100;none;mobile
0140_009.2B.jpg;4.793;100;none;mobile
0140_009.2B.jpg;4.767;100;none;mobile
0140_009.2B.jpg;4.874;100;none;mobile
0140_009.2B.jpg;4.669;100;none;mobile
0140_009.2B.jpg;4.437;100;none;mobile
0140_009.2B.jpg;4.713;100;none;mobile
0140_009.2B.jpg;4.592;100;none;mobile
0140_009.2B.jpg;4.361;100;none;mobile
0140_009.2B.jpg;4.829;100;none;mobile
0140_009.2B.jpg;4.764;100;none;mobile
0140_009.2B.jpg;4.728;100;none;mobile
0140_009.2B.jpg;4.819;100;none;mobile
0140_009.2B.jpg;4.715;100;none;mobile
0140_009.2B.jpg;4.41;100;none;mobile
0140_009.2B.jpg;4.807;100;none;mobile
0140_009.2B.jpg;4.789;100;none;mobile
0140_009.2B.jpg;4.819;100;none;mobile
0140_009.2B.jpg;4.717;100;none;mobile
0140_009.2B.jpg;4.783;100;none;mobile
0140_009.2B.jpg;4.922;100;none;mobile
0140_009.2B.jpg;4.78;100;none;mobile
0140_009.2B.jpg;4.79;100;none;mobile
0140_009.2B.jpg;4.768;100;none;mobile
0140_009.2B.jpg;4.744;100;none;mobile
0140_009.2B.jpg;4.735;100;none;mobile
0140_009.2B.jpg;4.796;100;none;mobile
0140_009.2B.jpg;4.747;100;none;mobile
0140_009.2B.jpg;4.77;100;none;mobile
0140_009.2B.jpg;4.806;100;none;mobile
0140_009.2B.jpg;4.669;100;none;mobile
0140_009.2B.jpg;4.491;100;none;mobile
0140_009.2B.jpg;5.396;100;none;mobile
0140_009.2B.jpg;6.954;100;none;mobile
0140_009.2B.jpg;4.457;100;none;mobile
0140_009.2B.jpg;4.541;100;none;mobile
0140_009.2B.jpg;4.507;100;none;mobile
0140_009.2B.jpg;4.55;100;none;mobile
0140_009.2B.jpg;4.86;100;none;mobile
0140_009.2B.jpg;4.74;100;none;mobile
0140_009.2B.jpg;4.794;100;none;mobile
0140_009.2B.jpg;4.763;100;none;mobile
0140_009.2B.jpg;4.909;100;none;mobile
0140_009.2B.jpg;4.822;100;none;mobile
0140_009.2B.jpg;4.771;100;none;mobile
0140_009.2B.jpg;4.755;100;none;mobile
0140_009.2B.jpg;4.853;100;none;mobile
