file_name;time;battery;connection;service
0140_009.2B.jpg;5.735;100;wifi;cloud
0140_009.2B.jpg;5.492;100;wifi;cloud
0140_009.2B.jpg;6.398;100;wifi;cloud
0140_009.2B.jpg;5.572;100;wifi;cloud
0140_009.2B.jpg;5.585;100;wifi;cloud
0140_009.2B.jpg;5.414;100;wifi;cloud
0140_009.2B.jpg;5.565;100;wifi;cloud
0140_009.2B.jpg;5.418;100;wifi;cloud
0140_009.2B.jpg;5.586;100;wifi;cloud
0140_009.2B.jpg;5.376;100;wifi;cloud
0140_009.2B.jpg;5.608;100;wifi;cloud
0140_009.2B.jpg;5.574;100;wifi;cloud
0140_009.2B.jpg;5.591;100;wifi;cloud
0140_009.2B.jpg;5.415;100;wifi;cloud
0140_009.2B.jpg;5.39;100;wifi;cloud
0140_009.2B.jpg;5.59;100;wifi;cloud
0140_009.2B.jpg;5.582;100;wifi;cloud
0140_009.2B.jpg;5.46;100;wifi;cloud
0140_009.2B.jpg;6.603;100;wifi;cloud
0140_009.2B.jpg;5.464;100;wifi;cloud
0140_009.2B.jpg;5.576;100;wifi;cloud
0140_009.2B.jpg;5.564;100;wifi;cloud
0140_009.2B.jpg;5.408;100;wifi;cloud
0140_009.2B.jpg;5.51;100;wifi;cloud
0140_009.2B.jpg;5.894;100;wifi;cloud
0140_009.2B.jpg;5.501;100;wifi;cloud
0140_009.2B.jpg;5.44;100;wifi;cloud
0140_009.2B.jpg;8.822;100;wifi;cloud
0140_009.2B.jpg;10.77;100;wifi;cloud
0140_009.2B.jpg;5.881;100;wifi;cloud
0140_009.2B.jpg;5.347;100;wifi;cloud
0140_009.2B.jpg;5.405;100;wifi;cloud
0140_009.2B.jpg;5.478;100;wifi;cloud
0140_009.2B.jpg;5.536;100;wifi;cloud
0140_009.2B.jpg;5.536;100;wifi;cloud
0140_009.2B.jpg;5.498;100;wifi;cloud
0140_009.2B.jpg;5.337;100;wifi;cloud
0140_009.2B.jpg;5.395;100;wifi;cloud
0140_009.2B.jpg;5.447;100;wifi;cloud
0140_009.2B.jpg;5.377;100;wifi;cloud
0140_009.2B.jpg;5.405;100;wifi;cloud
0140_009.2B.jpg;5.338;100;wifi;cloud
0140_009.2B.jpg;5.394;100;wifi;cloud
0140_009.2B.jpg;5.409;100;wifi;cloud
0140_009.2B.jpg;5.504;100;wifi;cloud
0140_009.2B.jpg;7.392;100;wifi;cloud
0140_009.2B.jpg;5.478;100;wifi;cloud
0140_009.2B.jpg;5.47;100;wifi;cloud
0140_009.2B.jpg;5.54;100;wifi;cloud
0140_009.2B.jpg;5.412;100;wifi;cloud
0140_009.2B.jpg;5.391;100;wifi;cloud
0140_009.2B.jpg;5.586;99;wifi;cloud
5380_015.2B.jpg;9.227;99;wifi;cloud
5380_015.2B.jpg;9.182;99;wifi;cloud
5380_015.2B.jpg;9.154;99;wifi;cloud
5380_015.2B.jpg;9.233;99;wifi;cloud
5380_015.2B.jpg;9.295;99;wifi;cloud
5380_015.2B.jpg;9.387;99;wifi;cloud
5380_015.2B.jpg;9.199;99;wifi;cloud
5380_015.2B.jpg;9.391;99;wifi;cloud
5380_015.2B.jpg;9.171;99;wifi;cloud
5380_015.2B.jpg;9.382;99;wifi;cloud
5380_015.2B.jpg;9.245;99;wifi;cloud
5380_015.2B.jpg;9.195;99;wifi;cloud
5380_015.2B.jpg;9.257;99;wifi;cloud
5380_015.2B.jpg;9.254;99;wifi;cloud
5380_015.2B.jpg;9.164;99;wifi;cloud
5380_015.2B.jpg;9.366;98;wifi;cloud
5954_078.2B.jpg;1.541;98;wifi;cloud
5954_078.2B.jpg;1.518;98;wifi;cloud
5954_078.2B.jpg;1.608;98;wifi;cloud
5954_078.2B.jpg;1.584;98;wifi;cloud
5954_078.2B.jpg;1.576;98;wifi;cloud
5954_078.2B.jpg;1.519;98;wifi;cloud
5954_078.2B.jpg;1.577;98;wifi;cloud
5954_078.2B.jpg;1.567;98;wifi;cloud
5954_078.2B.jpg;1.516;98;wifi;cloud
5954_078.2B.jpg;1.957;98;wifi;cloud
5954_078.2B.jpg;3.621;98;wifi;cloud
5954_078.2B.jpg;1.58;98;wifi;cloud
5954_078.2B.jpg;1.568;98;wifi;cloud
5954_078.2B.jpg;1.606;98;wifi;cloud
5954_078.2B.jpg;1.586;98;wifi;cloud
5954_078.2B.jpg;1.575;98;wifi;cloud
5954_078.2B.jpg;1.584;98;wifi;cloud
5954_078.2B.jpg;1.583;98;wifi;cloud
5954_078.2B.jpg;1.57;98;wifi;cloud
5954_078.2B.jpg;1.583;98;wifi;cloud
5954_078.2B.jpg;1.514;98;wifi;cloud
5954_078.2B.jpg;1.599;98;wifi;cloud
5954_078.2B.jpg;1.593;98;wifi;cloud
5954_078.2B.jpg;1.596;98;wifi;cloud
5954_078.2B.jpg;1.764;98;wifi;cloud
5954_078.2B.jpg;1.612;98;wifi;cloud
5954_078.2B.jpg;1.511;98;wifi;cloud
5954_078.2B.jpg;1.602;98;wifi;cloud
5954_078.2B.jpg;1.542;98;wifi;cloud
5954_078.2B.jpg;1.597;98;wifi;cloud
5954_078.2B.jpg;1.606;98;wifi;cloud
5954_078.2B.jpg;1.579;98;wifi;cloud
5954_078.2B.jpg;1.597;98;wifi;cloud
5954_078.2B.jpg;1.537;98;wifi;cloud
5954_078.2B.jpg;1.556;98;wifi;cloud
5954_078.2B.jpg;1.509;98;wifi;cloud
5954_078.2B.jpg;1.625;98;wifi;cloud
5954_078.2B.jpg;1.564;98;wifi;cloud
5954_078.2B.jpg;1.878;98;wifi;cloud
5954_078.2B.jpg;1.599;98;wifi;cloud
5954_078.2B.jpg;1.979;98;wifi;cloud
5954_078.2B.jpg;1.593;98;wifi;cloud
5954_078.2B.jpg;1.513;98;wifi;cloud
5954_078.2B.jpg;1.607;98;wifi;cloud
5954_078.2B.jpg;1.6;98;wifi;cloud
5954_078.2B.jpg;1.52;98;wifi;cloud
5954_078.2B.jpg;1.548;98;wifi;cloud
5954_078.2B.jpg;1.572;98;wifi;cloud
5954_078.2B.jpg;1.589;98;wifi;cloud
5954_078.2B.jpg;1.492;98;wifi;cloud
5954_078.2B.jpg;1.609;98;wifi;cloud
5954_078.2B.jpg;1.607;98;wifi;cloud
5954_078.2B.jpg;1.57;98;wifi;cloud
5954_078.2B.jpg;1.535;98;wifi;cloud
5954_078.2B.jpg;1.582;98;wifi;cloud
5954_078.2B.jpg;2.61;98;wifi;cloud
5954_078.2B.jpg;1.554;98;wifi;cloud
5954_078.2B.jpg;1.569;98;wifi;cloud
5954_078.2B.jpg;1.59;98;wifi;cloud
5954_078.2B.jpg;1.566;98;wifi;cloud
5954_078.2B.jpg;1.527;98;wifi;cloud
5954_078.2B.jpg;1.589;98;wifi;cloud
5954_078.2B.jpg;1.573;98;wifi;cloud
5954_078.2B.jpg;1.583;98;wifi;cloud
5954_078.2B.jpg;1.597;98;wifi;cloud
5954_078.2B.jpg;1.586;98;wifi;cloud
5954_078.2B.jpg;1.577;98;wifi;cloud
5954_078.2B.jpg;1.58;98;wifi;cloud
5954_078.2B.jpg;1.508;98;wifi;cloud
5954_078.2B.jpg;1.593;98;wifi;cloud
5954_078.2B.jpg;1.613;98;wifi;cloud
5954_078.2B.jpg;1.592;98;wifi;cloud
5954_078.2B.jpg;1.587;98;wifi;cloud
5954_078.2B.jpg;1.522;98;wifi;cloud
5954_078.2B.jpg;1.577;98;wifi;cloud
5954_078.2B.jpg;1.605;98;wifi;cloud
5954_078.2B.jpg;1.581;98;wifi;cloud
5954_078.2B.jpg;1.567;98;wifi;cloud
5954_078.2B.jpg;1.916;98;wifi;cloud
5954_078.2B.jpg;1.6;98;wifi;cloud
5954_078.2B.jpg;1.58;98;wifi;cloud
5954_078.2B.jpg;1.568;98;wifi;cloud
5954_078.2B.jpg;2.615;98;wifi;cloud
5954_078.2B.jpg;1.673;98;wifi;cloud
5954_078.2B.jpg;1.582;98;wifi;cloud
5954_078.2B.jpg;1.605;98;wifi;cloud
5954_078.2B.jpg;1.601;98;wifi;cloud
5954_078.2B.jpg;1.488;98;wifi;cloud
5954_078.2B.jpg;1.573;98;wifi;cloud
5954_078.2B.jpg;1.583;98;wifi;cloud
5954_078.2B.jpg;1.588;98;wifi;cloud
5954_078.2B.jpg;1.501;98;wifi;cloud
5954_078.2B.jpg;1.597;98;wifi;cloud
5954_078.2B.jpg;1.612;98;wifi;cloud
5954_078.2B.jpg;1.522;98;wifi;cloud
5954_078.2B.jpg;1.579;98;wifi;cloud
5954_078.2B.jpg;1.565;98;wifi;cloud
5954_078.2B.jpg;1.64;98;wifi;cloud
5954_078.2B.jpg;1.549;98;wifi;cloud
5954_078.2B.jpg;1.515;98;wifi;cloud
5954_078.2B.jpg;1.493;98;wifi;cloud
5954_078.2B.jpg;1.523;98;wifi;cloud
