file_name;time;battery;connection;service
0140_009.2B.jpg;7.492;100;wifi;pc
0140_009.2B.jpg;7.657;100;wifi;pc
0140_009.2B.jpg;7.726;100;wifi;pc
0140_009.2B.jpg;8.049;100;wifi;pc
0140_009.2B.jpg;7.548;100;wifi;pc
0140_009.2B.jpg;7.531;100;wifi;pc
0140_009.2B.jpg;7.432;100;wifi;pc
0140_009.2B.jpg;7.629;100;wifi;pc
0140_009.2B.jpg;7.877;100;wifi;pc
0140_009.2B.jpg;7.834;100;wifi;pc
0140_009.2B.jpg;7.455;100;wifi;pc
0140_009.2B.jpg;7.827;100;wifi;pc
0140_009.2B.jpg;7.94;100;wifi;pc
0140_009.2B.jpg;7.942;100;wifi;pc
0140_009.2B.jpg;7.349;100;wifi;pc
0140_009.2B.jpg;7.929;100;wifi;pc
0140_009.2B.jpg;7.417;100;wifi;pc
0140_009.2B.jpg;8.078;100;wifi;pc
0140_009.2B.jpg;7.833;100;wifi;pc
0140_009.2B.jpg;8.563;100;wifi;pc
0140_009.2B.jpg;7.536;100;wifi;pc
0140_009.2B.jpg;7.151;100;wifi;pc
0140_009.2B.jpg;6.906;100;wifi;pc
0140_009.2B.jpg;7.617;100;wifi;pc
0140_009.2B.jpg;7.605;100;wifi;pc
0140_009.2B.jpg;7.462;100;wifi;pc
0140_009.2B.jpg;7.128;100;wifi;pc
0140_009.2B.jpg;7.525;100;wifi;pc
0140_009.2B.jpg;7.403;100;wifi;pc
0140_009.2B.jpg;6.711;100;wifi;pc
0140_009.2B.jpg;7.749;100;wifi;pc
0140_009.2B.jpg;8.023;100;wifi;pc
0140_009.2B.jpg;7.638;100;wifi;pc
0140_009.2B.jpg;7.96;100;wifi;pc
0140_009.2B.jpg;8.162;100;wifi;pc
0140_009.2B.jpg;7.034;100;wifi;pc
0140_009.2B.jpg;7.972;100;wifi;pc
0140_009.2B.jpg;7.638;100;wifi;pc
0140_009.2B.jpg;7.609;100;wifi;pc
0140_009.2B.jpg;7.88;100;wifi;pc
0140_009.2B.jpg;8.045;100;wifi;pc
0140_009.2B.jpg;7.439;100;wifi;pc
0140_009.2B.jpg;7.436;100;wifi;pc
0140_009.2B.jpg;7.777;100;wifi;pc
0140_009.2B.jpg;7.837;100;wifi;pc
0140_009.2B.jpg;7.562;100;wifi;pc
0140_009.2B.jpg;7.809;100;wifi;pc
0140_009.2B.jpg;7.326;100;wifi;pc
0140_009.2B.jpg;7.732;100;wifi;pc
0140_009.2B.jpg;7.527;100;wifi;pc
0140_009.2B.jpg;7.711;100;wifi;pc
0140_009.2B.jpg;7.643;100;wifi;pc
0140_009.2B.jpg;7.603;100;wifi;pc
0140_009.2B.jpg;7.583;100;wifi;pc
0140_009.2B.jpg;7.336;100;wifi;pc
0140_009.2B.jpg;7.715;100;wifi;pc
0140_009.2B.jpg;7.715;100;wifi;pc
0140_009.2B.jpg;7.527;100;wifi;pc
0140_009.2B.jpg;7.997;100;wifi;pc
0140_009.2B.jpg;7.97;100;wifi;pc
0140_009.2B.jpg;8.135;100;wifi;pc
0140_009.2B.jpg;8.136;100;wifi;pc
0140_009.2B.jpg;8.43;100;wifi;pc
0140_009.2B.jpg;7.608;100;wifi;pc
0140_009.2B.jpg;7.615;100;wifi;pc
0140_009.2B.jpg;7.637;100;wifi;pc
0140_009.2B.jpg;7.218;100;wifi;pc
0140_009.2B.jpg;7.513;100;wifi;pc
0140_009.2B.jpg;7.686;100;wifi;pc
0140_009.2B.jpg;8.066;100;wifi;pc
0140_009.2B.jpg;7.494;100;wifi;pc
0140_009.2B.jpg;8.427;100;wifi;pc
0140_009.2B.jpg;7.957;100;wifi;pc
0140_009.2B.jpg;8.122;100;wifi;pc
0140_009.2B.jpg;7.544;100;wifi;pc
0140_009.2B.jpg;7.319;100;wifi;pc
0140_009.2B.jpg;7.709;100;wifi;pc
0140_009.2B.jpg;7.326;100;wifi;pc
0140_009.2B.jpg;7.516;100;wifi;pc
0140_009.2B.jpg;7.543;100;wifi;pc
0140_009.2B.jpg;7.755;100;wifi;pc
0140_009.2B.jpg;7.851;100;wifi;pc
0140_009.2B.jpg;7.555;100;wifi;pc
0140_009.2B.jpg;8.415;100;wifi;pc
0140_009.2B.jpg;7.424;100;wifi;pc
0140_009.2B.jpg;7.755;100;wifi;pc
0140_009.2B.jpg;7.811;100;wifi;pc
0140_009.2B.jpg;7.913;100;wifi;pc
0140_009.2B.jpg;7.25;100;wifi;pc
